Format,2.0A,
Memory Length,5000,
Trigger Level,35.0mV,
Source,CH1,
Label, ,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,2.000E-02,
Vertical Position,-1.136E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,4.530E-05,
Horizontal Mode,Main,
Sampling Period,2.000E-08,
Firmware,V1.13,
Time,15-Nov-18 23:37:02,
Mode,Detail,
Waveform Data,
-8.916000e-05,7.28e-02,
-8.914000e-05,7.52e-02,
-8.912000e-05,7.28e-02,
-8.910000e-05,7.44e-02,
-8.908000e-05,7.36e-02,
-8.906000e-05,7.44e-02,
-8.904000e-05,7.36e-02,
-8.902000e-05,7.52e-02,
-8.900000e-05,7.28e-02,
-8.898000e-05,7.52e-02,
-8.896000e-05,7.28e-02,
-8.894000e-05,7.44e-02,
-8.892000e-05,7.36e-02,
-8.890000e-05,7.52e-02,
-8.888000e-05,7.36e-02,
-8.886000e-05,7.52e-02,
-8.884000e-05,7.28e-02,
-8.882000e-05,7.52e-02,
-8.880000e-05,7.28e-02,
-8.878000e-05,7.52e-02,
-8.876000e-05,7.28e-02,
-8.874000e-05,7.52e-02,
-8.872000e-05,7.28e-02,
-8.870000e-05,7.44e-02,
-8.868000e-05,7.36e-02,
-8.866000e-05,7.44e-02,
-8.864000e-05,7.28e-02,
-8.862000e-05,7.52e-02,
-8.860000e-05,7.28e-02,
-8.858000e-05,7.52e-02,
-8.856000e-05,7.28e-02,
-8.854000e-05,7.52e-02,
-8.852000e-05,7.28e-02,
-8.850000e-05,7.52e-02,
-8.848000e-05,7.28e-02,
-8.846000e-05,7.52e-02,
-8.844000e-05,7.28e-02,
-8.842000e-05,7.52e-02,
-8.840000e-05,7.28e-02,
-8.838000e-05,7.44e-02,
-8.836000e-05,7.36e-02,
-8.834000e-05,7.52e-02,
-8.832000e-05,7.28e-02,
-8.830000e-05,7.44e-02,
-8.828000e-05,7.28e-02,
-8.826000e-05,7.44e-02,
-8.824000e-05,7.28e-02,
-8.822000e-05,7.52e-02,
-8.820000e-05,7.20e-02,
-8.818000e-05,7.44e-02,
-8.816000e-05,7.28e-02,
-8.814000e-05,7.52e-02,
